family,dataset,concept,original_label,fisher_z_label,permutation_label,bayesian_label,all_agree
Sino-Tibetan,sagartst,LEFT,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,MOUNTAIN,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,RICE,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,RIGHT,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,RIVER,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,SALT,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Sino-Tibetan,sagartst,SEA,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,TREE,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,COLD,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,DOG,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,LEFT,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,MOUNTAIN OR HILL,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,RIGHT,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,RIVER,null_untestable,null_untestable,null_untestable,null_untestable,True
Turkic,savelyevturkic,TREE,null_untestable,borrowing_signature,borrowing_signature,borrowing_signature,False
Uralic,uralex,COLD,founder_effect,founder_effect,founder_effect,founder_effect,True
Uralic,uralex,FIRE,null_untestable,null_untestable,null_untestable,null_untestable,True
Uralic,uralex,FOREST,null_untestable,null_untestable,null_untestable,null_untestable,True
Uralic,uralex,ICE,ceiling,ceiling,ceiling,ceiling,True
Uralic,uralex,MOUNTAIN,founder_effect,founder_effect,founder_effect,founder_effect,True
Uralic,uralex,RIVER,null_untestable,null_untestable,null_untestable,null_untestable,True
Uralic,uralex,SEA,null_untestable,null_untestable,null_untestable,null_untestable,True
Uralic,uralex,SNOW,null_untestable,null_untestable,null_untestable,null_untestable,True
Uralic,uralex,STONE,null_untestable,null_untestable,null_untestable,null_untestable,True
Uralic,uralex,TREE,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Uralic,uralex,WATER,null_untestable,null_untestable,null_untestable,null_untestable,True
