glottocode,language_name,source_dataset,concept,raw_cognate_id,harmonised_cognate_id,form,lat,lon,dist_homeland_km,retention
akha1245,Aka,peirosst,TREE,90-1513,H0033,šo,21.2309,100.964,1559.4820020131797,0
bodo1269,Bodo,peirosst,TREE,90-241,H0034,bompaŋ,26.1,92.0,1514.3147807715686,0
bugu1246,Bugun,peirosst,TREE,90-241,H0035,рɨŋ-mua,27.1929556,92.4713002,1397.7108462905592,0
chok1243,Chokri,peirosst,TREE,90-1513,H0036,sɨbo,25.5636,94.2887,1402.1576579808552,0
dakp1242,Motuo-M,peirosst,TREE,90-1513,H0037,śiŋ,27.3762,91.8245,1433.357347104397,0
dhim1246,Dhimal,peirosst,TREE,90-1513,H0038,sute,26.6283,88.3798,1754.9585738082192,0
dima1251,Dimasa,peirosst,TREE,90-241,H0034,bophaŋ,25.4198,93.1806,1486.5437389831989,0
dumi1241,Dumi,peirosst,TREE,90-241,H0039,bhu,27.45849,86.75699,1837.8112764037203,0
gang1266,Gangte,peirosst,TREE,90-1513,H0040,thiŋ,24.5113,94.1681,1501.8344301275158,0
geba1237,Geba,peirosst,TREE,90-1513,H0041,ṭoʔ⁵³,19.4991,96.9492,1857.7448661958715,0
geko1235,Geker,peirosst,TREE,90-1513,H0041,ṭəɨʔ⁵³,19.6741,96.5308,1855.3871582257811,0
guiq1238,Guiqiong,peirosst,TREE,90-241,H0042,sɛ̃³³_po⁵³,30.4803,102.128,532.1592707848653,0
guru1261,Gurung,peirosst,TREE,90--1,H0043,dũ⁴,27.41687,86.28988,1879.6360426266672,0
hmar1241,Hmar,peirosst,TREE,90-1513,H0040,thiŋ,24.7534,93.5497,1518.9796936889322,0
jian1239,Jianchuan Bai,peirosst,TREE,90-4574,H0044,cɨ³,26.538056,99.91,1018.5533770778444,0
jire1238,Jirel,peirosst,TREE,90-1057,H0045,doŋ_L²bo_L¹,27.6931,86.3201,1861.4178187731127,0
kaik1246,Kaike,peirosst,TREE,90-1057,H0046,ṭɔŋpu,28.853,83.1384,2079.2320551462203,0
khez1235,Khezhama,peirosst,TREE,90-1513,H0036,cɨbo,25.7078,94.3114,1388.329140200855,0
lepc1244,Lepcha,peirosst,TREE,90-2247,H0047,kuŋ,27.0869,88.5726,1709.892734201602,0
mand1415,Beijing,peirosst,TREE,90-4574,H0048,shù_,40.0209,116.228,1212.9701931691116,0
mani1292,Manipuri,peirosst,TREE,90-4407,H0049,u,24.4409,93.3426,1559.176767978475,0
manu1255,Manu,peirosst,TREE,90-1513,H0050,sø⁴⁴⁵⁵,19.165,96.9531,1892.4512372553781,0
maon1238,Mao,peirosst,TREE,90-1513,H0036,sɨbu,25.3836,94.0035,1435.7951713655502,0
mara1379,Maram,peirosst,TREE,90-1513,H0051,atiŋbaŋ,25.4378,94.2205,1417.325019770518,0
mind1253,Fuzhou,peirosst,TREE,90-4574,H0052,chiu³¹,26.0,119.5,1787.1999293012702,0
nisi1238,Nishi,peirosst,TREE,90-1513,H0053,seːm,23.418,104.85,1290.4818006264786,0
noct1238,Nocte,peirosst,TREE,90-241,H0054,baŋ,27.152,95.3903,1196.380669740511,0
nort2732,Tujia,peirosst,TREE,90-2759,H0055,kha⁴_moŋ⁴,29.3016,109.759,833.5708207467916,0
poch1243,Pochuri,peirosst,TREE,90-1513,H0056,athso,25.4478,94.1119,1423.3641072082253,0
rawa1265,Rawang,peirosst,TREE,90-1513,H0037,šiŋ,27.1027,97.0738,1097.6712001094809,0
reng1255,Rengma,peirosst,TREE,90-1513,H0057,saŋbin,21.710864,92.367939,1862.0452875491565,0
sgaw1245,Sgaw,peirosst,TREE,90-1513,H0041,ṭẽʔ⁵³,17.9872,97.7126,1991.2455924335136,0
sher1255,Sherpa,peirosst,TREE,90-1057,H0058,doŋbu,27.674,86.9994,1804.9557638067263,0
sher1257,Serdukpen,peirosst,TREE,90-1513,H0059,hiŋ-thuŋ,27.0035,92.5799,1403.678404660261,0
sout2728,S-Qiangqin,peirosst,TREE,90-241,H0060,pho⁵⁵,31.5392,103.384,389.0585404202817,0
sunw1242,Sunwar,peirosst,TREE,90-4407,H0061,rawaːA,27.5201,86.2476,1877.3307121310345,0
tagi1241,Tagin,peirosst,TREE,90-1513,H0062,saŋnə,27.986064,94.221711,1210.372626174659,0
tara1313,Taraon,peirosst,TREE,90-1513,H0063,ma³_sɨŋ¹,24.4003,94.1703,1511.6038011358826,0
thak1245,Thakali,peirosst,TREE,90--1,H0064,ṭuŋ⁴,28.7014,83.6466,2041.3836951019307,0
wanc1238,Wancho,peirosst,TREE,90-241,H0065,pan,26.2581,94.8936,1304.0843156058888,0
west2409,W. Kayah,peirosst,TREE,90-1513,H0066,ćɔ¹¹,18.687,97.4877,1924.2319278583577,0
yamp1242,Yamphu,peirosst,TREE,90-1513,H0067,siŋbu,27.6322,87.0441,1803.589647283499,0
yimc1240,Yimchunrü,peirosst,TREE,90-1513,H0068,saŋtuŋ,25.7675,94.8087,1351.8111670761573,0
yinb1236,Yeinbaw,peirosst,TREE,90-1513,H0069,θɨ̃¹¹_mɨ¹¹,19.0383,97.2134,1896.5082534041449,0
yint1235,Yintale,peirosst,TREE,90-1513,H0070,sein¹³,18.9378,97.3368,1902.8341701422619,0
acha1249,Burmish_Achang,sagartst,FIRE,1058-thefire,H0000,p.o.i.³¹,24.466605,97.89503,1310.4584507776617,0
amdo1237,Tibetan_Alike,sagartst,FIRE,1746-thefire,H0001,m.ȵ.e,38.318508,92.839938,1060.7989143961886,0
bahi1252,Kiranti_Bahing,sagartst,FIRE,1746-thefire,H0002,m.i,27.309472,86.430334,1873.971761115711,0
bant1281,Kiranti_Bantawa,sagartst,FIRE,1746-thefire,H0003,m.i.r.i,27.117894,87.049995,1833.369668838723,0
beij1235,Sinitic_Beijing,sagartst,FIRE,29759-thefire,H0004,x.u.ɔ.²¹⁴,39.909056,116.397422,1221.3770908753272,0
boka1249,Tani_Bokar,sagartst,FIRE,1746-thefire,H0005,ə.+.m.ə,27.554547,93.15717,1320.3083428062087,0
byan1241,TibetoKinauri_Byangsi,sagartst,FIRE,1746-thefire,H0006,m.ɨ.è,29.583838,80.22309,2308.4379711809743,0
chao1238,Sinitic_Chaozhou,sagartst,FIRE,29759-thefire,H0007,h.u.ɛ.⁵³,23.657699,116.622317,1754.1158394768415,0
chao1239,Sinitic_Jieyang,sagartst,FIRE,29759-thefire,H0007,h.u.ɛ.³¹,23.551122,116.373013,1746.4883636899253,0
chep1245,Chepang_Chepang,sagartst,FIRE,1746-thefire,H0008,h.m.e.ʔ,27.785164,84.908801,1977.3216098637133,0
clas1254,Tibetan_Old_Tibetan,sagartst,FIRE,1746-thefire,H0002,m.e,30.027852,91.158704,1323.5200186334196,0
diga1241,Deng_Darang_Taraon,sagartst,FIRE,1746-thefire,H0009,n.ɑ.³¹.◦.m.ɯ.n.⁵⁵,28.657986,97.469136,936.5037085239524,0
